title,note,pitch,fingering,is_chord,is_rest,hand,finger
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,E3,52,3,False,False,1,3
data/Fur_Elise_Easy.mxl,G#3,56,1,False,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Fur_Elise_Easy.mxl,A2,45,5,True,False,1,5
data/Fur_Elise_Easy.mxl,A3,57,1,True,False,1,1
data/Fur_Elise_Easy.mxl,Rest,0,0,False,True,1,0
data/Petite_Fleur____Becket_EASE.mxl,G4,67,3,False,False,0,3
data/Petite_Fleur____Becket_EASE.mxl,A4,69,4,False,False,0,4
data/Petite_Fleur____Becket_EASE.mxl,C4,60,1,False,False,0,1
data/Petite_Fleur____Becket_EASE.mxl,Rest,0,0,False,True,0,0
data/Petite_Fleur____Becket_EASE.mxl,E-4,63,2,False,False,0,2
data/Petite_Fleur____Becket_EASE.mxl,E-4,63,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,D4,62,1,False,False,0,1
data/Petite_Fleur____Becket_EASE.mxl,D4,62,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,F#4,66,2,False,False,0,2
data/Petite_Fleur____Becket_EASE.mxl,G4,67,1,False,False,0,1
data/Petite_Fleur____Becket_EASE.mxl,A4,69,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,E-5,75,5,False,False,0,5
data/Petite_Fleur____Becket_EASE.mxl,D5,74,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,B-4,70,2,False,False,0,2
data/Petite_Fleur____Becket_EASE.mxl,B-4,70,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,D4,62,1,False,False,0,1
data/Petite_Fleur____Becket_EASE.mxl,G4,67,2,False,False,0,2
data/Petite_Fleur____Becket_EASE.mxl,A4,69,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,B-4,70,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,A4,69,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,G4,67,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,A4,69,3,False,False,0,3
data/Petite_Fleur____Becket_EASE.mxl,A4,69,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,E4,64,1,False,False,0,1
data/Petite_Fleur____Becket_EASE.mxl,F#4,66,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,G4,67,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,A4,69,0,False,False,0,0
data/Petite_Fleur____Becket_EASE.mxl,F#4,66,2,False,False,0,2
data/Petite_Fleur____Becket_EASE.mxl,D4,62,1,False,False,0,1
data/Petite_Fleur____Becket_EASE.mxl,C4,60,1,True,False,0,1
data/Petite_Fleur____Becket_EASE.mxl,F#4,66,3,True,False,0,3
data/Petite_Fleur____Becket_EASE.mxl,A4,69,5,True,False,0,5
